County,Lat,Long
Sutter,39.03417539,-121.6945899
Placer,39.06167234,-120.7240569
Lake,39.10124298,-122.7536244
Colusa,39.17881957,-122.2331726
Yuba,39.26255932,-121.3535644
Nevada,39.30394768,-120.7627281
Mendocino,39.4381191,-123.3911313
Sierra,39.57713498,-120.5200701
Glenn,39.59875897,-122.3938452
Butte,39.66727762,-121.6005252
Plumas,40.00355989,-120.8395236
Tehama,40.12570935,-122.2370171
Trinity,40.6491767,-123.114713
Lassen,40.67311306,-120.5935099
Humboldt,40.69923009,-123.876044
Shasta,40.76391419,-122.0396884
Modoc,41.58965602,-120.7244817
Siskiyou,41.59198861,-122.5407434
Del Norte,41.74228275,-123.8974063
Archuleta,37.19474156,-107.0476867
Conejos,37.201606,-106.1917488
Costilla,37.27732493,-105.4276548
La Plata,37.28632032,-107.8429014
Las Animas,37.3153406,-104.0376458
Baca,37.31940883,-102.5603223
Montezuma,37.33859579,-108.5958857
Alamosa,37.57250606,-105.7885451
Rio Grande,37.5836865,-106.3847838
Mineral,37.66954283,-106.9281698
Huerfano,37.68473101,-104.9612585
Dolores,37.75208676,-108.5211585
San Juan,37.76248981,-107.6763289
Hinsdale,37.82247444,-107.3004345
Otero,37.9014485,-103.7173385
Bent,37.95474293,-103.0720195
Prowers,37.95544985,-102.3926052
San Miguel,38.00450883,-108.4020725
Saguache,38.08054629,-106.282466
Custer,38.10883162,-105.3683478
Ouray,38.14717457,-107.7675136
Pueblo,38.17359144,-104.5127437
Crowley,38.32608609,-103.7844965
Montrose,38.40214114,-108.2639022
Kiowa,38.43260896,-102.7392145
Fremont,38.47362326,-105.4399667
Gunnison,38.66611652,-107.0320729
Chaffee,38.74745778,-106.1926573
Cheyenne,38.82777431,-102.6032558
El Paso,38.83240149,-104.5251411
Delta,38.86246243,-107.8631342
Teller,38.88133511,-105.1614893
Lincoln,38.98749519,-103.5136649
Mesa,39.01787888,-108.469799
Park,39.120926,-105.7182065
Lake,39.20278823,-106.3555697
Pitkin,39.21720112,-106.9310027
Elbert,39.28656773,-104.1358721
Kit Carson,39.30497777,-102.6022199
Douglas,39.33133796,-104.930001
Jefferson,39.58635604,-105.2517692
Garfield,39.59921777,-107.902708
Eagle,39.62754308,-106.6933637
Summit,39.63803232,-106.1150762
Arapahoe,39.64977461,-104.3353617
Clear Creek,39.68864463,-105.6463118
Denver,39.76018276,-104.8725695
Gilpin,39.85646523,-105.5252597
Adams,39.87432092,-104.3362578
Boulder,39.95998787,-105.0566324
Washington,39.97015535,-103.202587
Rio Blanco,39.97913541,-108.2179009
Yuma,40.00346839,-102.4258673
Boulder,40.09313619,-105.3546767
Grand,40.10603347,-106.1178042
Morgan,40.2627981,-103.8093302
Routt,40.48596505,-106.9905548
Weld,40.55499405,-104.3929621
Phillips,40.59414277,-102.3577703
Moffat,40.61810999,-108.2070876
Jackson,40.6659387,-106.3408905
Larimer,40.66671597,-105.4625784
Logan,40.7249637,-103.110817
Sedgwick,40.87595412,-102.3519227
Fairfield,41.26809896,-73.3881171
New Haven,41.4080325,-72.93620426
Middlesex,41.45949668,-72.53714864
New London,41.48896435,-72.10430976
Litchfield,41.7937534,-73.2451475
Hartford,41.80283011,-72.73103891
Windham,41.82972709,-71.98182316
Tolland,41.85853803,-72.3308481
Sussex,38.66143781,-75.39031349
Kent,39.08646628,-75.56884914
New Castle,39.57992638,-75.64054974
District of Columbia,38.90417773,-77.01655992
Monroe,25.20904673,-81.07812416
Miami-Dade,25.6112362,-80.55170587
Collier,26.11091986,-81.34687065
Broward,26.15184651,-80.48725556
Hendry,26.55386945,-81.16469006
Lee,26.58410348,-81.88399313
Palm Beach,26.64676272,-80.46536002
Charlotte,26.90131002,-81.92949121
Glades,26.95635849,-81.18996211
Martin,27.0772071,-80.43109784
Sarasota,27.18546175,-82.33174248
DeSoto,27.18677893,-81.80941373
Highlands,27.34254618,-81.34071957
St. Lucie,27.37763908,-80.47106649
Okeechobee,27.3863362,-80.88944347
Manatee,27.47196942,-82.31831044
Hardee,27.49293939,-81.80956574
Indian River,27.69308961,-80.60556721
Hillsborough,27.9276559,-82.32013172
Pinellas,27.93130349,-82.72239666
Polk,27.95027105,-81.69732947
Osceola,28.06312234,-81.14882926
Brevard,28.29409504,-80.73091022
Pasco,28.30810945,-82.40227529
Orange,28.51367621,-81.31799498
Hernando,28.55364461,-82.42700204
Sumter,28.70181754,-82.0794267
Seminole,28.7158582,-81.24060348
Lake,28.76202069,-81.7125123
Citrus,28.84804315,-82.47614748
Volusia,29.05858895,-81.18263252
Marion,29.21227113,-82.05803627
Levy,29.31829741,-82.74007147
Flagler,29.45933576,-81.31508595
Dixie,29.60631086,-83.15724673
Putnam,29.60779729,-81.74230285
Alachua,29.67866525,-82.35928158
Gilchrist,29.72856978,-82.79880657
Franklin,29.83791238,-84.82731662
St. Johns,29.90096506,-81.43589967
Gulf,29.93543004,-85.2427099
Bradford,29.95079741,-82.16611613
Clay,29.98319144,-81.85609986
Lafayette,29.98484137,-83.18166636
Union,30.04412971,-82.37497443
Taylor,30.04848048,-83.60445406
Wakulla,30.16548905,-84.39895211
Suwannee,30.19746066,-82.9909967
Columbia,30.22509788,-82.62160164
Liberty,30.23766008,-84.8829258
Bay,30.26548745,-85.62122584
Baker,30.33060121,-82.28467476
Duval,30.33225875,-81.66976468
Calhoun,30.40666734,-85.19394153
Jefferson,30.43669112,-83.89442308
Madison,30.44396917,-83.47398594
Leon,30.45955727,-84.27491114
Hamilton,30.49673973,-82.94998918
Gadsden,30.57796289,-84.61915825
Nassau,30.61037141,-81.80297522
Washington,30.61359259,-85.66002461
Walton,30.64204028,-86.16935664
Escambia,30.67652764,-87.37284571
Okaloosa,30.69143028,-86.59267105
Santa Rosa,30.6934145,-87.02458128
Jackson,30.7954597,-85.21500423
Holmes,30.86747479,-85.81319222
Echols,30.71101099,-82.89687287
Charlton,30.78371028,-82.13951596
Lowndes,30.83568832,-83.27056716
Brooks,30.83922642,-83.58303423
Thomas,30.86392347,-83.91847289
Grady,30.87454847,-84.23418364
Decatur,30.87967778,-84.57619536
Clinch,30.91395822,-82.70432472
Camden,30.92951916,-81.66601818
Seminole,30.93464824,-84.86823924
Lanier,31.0382857,-83.06472457
Ware,31.05449097,-82.42224148
Cook,31.16068491,-83.42947229
Miller,31.16568912,-84.73151117
Colquitt,31.18810588,-83.7677946
Brantley,31.19576557,-81.97743999
Mitchell,31.22483255,-84.19381821
Glynn,31.23279254,-81.53811412
Berrien,31.27590016,-83.2252992
Atkinson,31.29633502,-82.87545866
Early,31.32155345,-84.90255207
Baker,31.32669878,-84.44218806
Pierce,31.35928155,-82.21598442
Tift,31.45743864,-83.5236119
McIntosh,31.49683595,-81.40163426
Calhoun,31.53169785,-84.62725131
Dougherty,31.53328528,-84.21722377
Coffee,31.54892966,-82.8549206
Worth,31.55162306,-83.85090513
Wayne,31.5521809,-81.91894878
Bacon,31.55456473,-82.45936528
Irwin,31.60213036,-83.27501387
Clay,31.62221166,-84.97713865
Turner,31.71612656,-83.62069378
Appling,31.74847232,-82.28909114
Long,31.75218791,-81.74952375
Ben Hill,31.76095874,-83.22145359
Randolph,31.76622818,-84.75732369
Terrell,31.77527543,-84.44069698
Lee,31.7793306,-84.14324253
Jeff Davis,31.80405727,-82.6372487
Liberty,31.82588896,-81.49251135
Quitman,31.86728114,-85.01773177
Crisp,31.92289565,-83.76811843
Telfair,31.92829517,-82.93491155
Wilcox,31.97496928,-83.43438555
Chatham,32.00043026,-81.12489526
Bryan,32.00979311,-81.44002948
Sumter,32.03650571,-84.19821492
Webster,32.04066113,-84.54742852
Tattnall,32.04785085,-82.05539188
Stewart,32.07996777,-84.83208037
Wheeler,32.12009104,-82.72574721
Toombs,32.12059861,-82.32957247
Evans,32.15328841,-81.8870105
Dooly,32.15630737,-83.79746561
Montgomery,32.17201038,-82.53527476
Dodge,32.17265114,-83.16948926
Pulaski,32.23334561,-83.4754996
Schley,32.2654021,-84.31258912
Chattahoochee,32.34341231,-84.78809239
Marion,32.3483402,-84.52733571
Macon,32.35207048,-84.04234127
Effingham,32.36616021,-81.34280942
Bulloch,32.39577406,-81.74811421
Candler,32.40209349,-82.07702563
Treutlen,32.40422134,-82.56904553
Bleckley,32.43829035,-83.33035166
Houston,32.45802497,-83.66879087
Laurens,32.46325233,-82.92221316
Muscogee,32.50931999,-84.87142262
Taylor,32.55792548,-84.25077141
Peach,32.56934316,-83.82937
Emanuel,32.59221302,-82.30239915
Twiggs,32.67435595,-83.43078662
Talbot,32.69642758,-84.53351366
Johnson,32.70211082,-82.66166794
Crawford,32.71391813,-83.98061238
Harris,32.73709786,-84.90538572
Screven,32.74976524,-81.60779441
Jenkins,32.79248718,-81.96040187
Wilkinson,32.80291082,-83.17140684
Bibb,32.80904227,-83.70489165
Upson,32.87920671,-84.30024826
Washington,32.96711864,-82.79357039
Monroe,33.014289,-83.92097166
Jones,33.02512137,-83.56019163
Troup,33.03349196,-85.02812115
Meriwether,33.04163534,-84.68859732
Jefferson,33.05867328,-82.41609057
Burke,33.05917989,-81.99928721
Baldwin,33.06882326,-83.24701748
Lamar,33.07841647,-84.14263877
Pike,33.09310242,-84.38790389
Glascock,33.22879932,-82.61297636
Spalding,33.26310031,-84.28013991
Hancock,33.2721566,-82.99766919
Butts,33.2830945,-83.9543504
Heard,33.29686567,-85.12886832
Jasper,33.31535543,-83.68844964
Putnam,33.32056115,-83.37552891
Coweta,33.35334302,-84.76129976
Richmond,33.35777107,-82.07026432
Warren,33.41146451,-82.67795848
Fayette,33.41357794,-84.49089434
Henry,33.4533428,-84.1481466
McDuffie,33.47851918,-82.48252774
Clayton,33.54187245,-84.35594188
Columbia,33.54534185,-82.263524
Newton,33.55514538,-83.8454714
Taliaferro,33.56543317,-82.88136816
Greene,33.5769205,-83.17139104
Carroll,33.58138199,-85.07976677
Morgan,33.59232073,-83.49129491
Rockdale,33.65145002,-84.02202167
Douglas,33.70291126,-84.77026156
DeKalb,33.76944049,-84.22396017
Walton,33.78017694,-83.73552314
Wilkes,33.78290391,-82.74286107
Lincoln,33.79201475,-82.45024131
Fulton,33.79216944,-84.46319413
Haralson,33.79602175,-85.21005667
Oconee,33.83749973,-83.43679568
Oglethorpe,33.8786296,-83.08278123
Paulding,33.91969522,-84.86848792
Cobb,33.94243204,-84.5761255
Clarke,33.95436462,-83.37124007
Gwinnett,33.96044201,-84.02137802
Barrow,33.99148694,-83.71436292
Polk,34.00267074,-85.18677781
Elbert,34.11302332,-82.83936148
Madison,34.12920917,-83.21218732
Jackson,34.13794553,-83.56814788
Forsyth,34.22604035,-84.1231513
Bartow,34.23732119,-84.83887523
Cherokee,34.24393976,-84.47431861
Floyd,34.26268279,-85.21577392
Hall,34.32207823,-83.81896936
Hart,34.34626973,-82.96567682
Banks,34.35607081,-83.49644388
Franklin,34.37525597,-83.23159927
Dawson,34.44244079,-84.16964071
Pickens,34.46589159,-84.46406611
Chattooga,34.47197698,-85.34535662
Gordon,34.50487351,-84.87296253
Stephens,34.55151201,-83.29405315
Lumpkin,34.57286511,-84.00425681
Habersham,34.63331566,-83.53094677
White,34.64624278,-83.74905525
Gilmer,34.69316688,-84.45802506
Walker,34.73376362,-85.30165174
Murray,34.78897608,-84.74993177
Whitfield,34.80987459,-84.96093476
Union,34.82995757,-83.98967069
Dade,34.8549167,-85.50490424
Fannin,34.86430205,-84.316964
Rabun,34.88389445,-83.40304637
Catoosa,34.89872298,-85.13757014
Towns,34.91369188,-83.7410746
Guam,13.4443,144.7937
Hawaii,19.60121157,-155.5210167
Maui,20.86399628,-156.5689097
Kalawao,21.17882515,-156.9583592
Honolulu,21.45803166,-157.9712182
Kauai,22.03935037,-159.5966786
Franklin,42.18332217,-111.8149666
Oneida,42.1949428,-112.5407838
Bear Lake,42.28269683,-111.3289238
Cassia,42.28347888,-113.6012409
Twin Falls,42.35440512,-114.6685381
Owyhee,42.58016894,-116.1693871
Bannock,42.67002716,-112.2233311
Jerome,42.68891267,-114.2655033
Power,42.69254894,-112.8395742
Caribou,42.77149116,-111.5597683
Minidoka,42.85518524,-113.6357257
Gooding,42.96927962,-114.8108306
Lincoln,43.0012336,-114.1358773
Bingham,43.2167288,-112.3978437
Elmore,43.3507101,-115.4701578
Bonneville,43.38713372,-111.6161537
Blaine,43.4085812,-113.9752658
Ada,43.4526575,-116.2415516
Camas,43.46665742,-114.8065892
Canyon,43.61970148,-116.7095499
Butte,43.72592209,-113.1735463
Teton,43.75303583,-111.2056773
Madison,43.78141028,-111.6538474
Jefferson,43.82078483,-112.3131749
Boise,43.98829931,-115.7309284
Payette,44.00545243,-116.7647695
Gem,44.06482372,-116.398376
Fremont,44.22800938,-111.4809943
Custer,44.24186819,-114.2855494
Clark,44.28496071,-112.3505704
Washington,44.45275475,-116.7847688
Valley,44.76728382,-115.5676773
Adams,44.89333571,-116.4545247
Lemhi,44.9438088,-113.9309747
Idaho,45.84721541,-115.4634436
Lewis,46.23315327,-116.434146
Nez Perce,46.32638236,-116.7500975
Clearwater,46.67459924,-115.6622393
Latah,46.81587887,-116.7113698
Benewah,47.21754179,-116.6586851
Shoshone,47.35364087,-115.8916749
Kootenai,47.67282258,-116.7020872
Bonner,48.29996017,-116.6017932
Boundary,48.76684761,-116.4630179
Alexander,37.18049267,-89.32910838
Massac,37.22078441,-88.71036614
Pulaski,37.22631423,-89.13085001
Pope,37.41391284,-88.56152109
Johnson,37.45939802,-88.88165419
Union,37.47119609,-89.25548938
Hardin,37.51810645,-88.26873022
Williamson,37.73033511,-88.92994027
Saline,37.75332999,-88.54119706
Gallatin,37.76430935,-88.22953869
Jackson,37.78595185,-89.38232563
Franklin,37.99189086,-88.92567818
Randolph,38.05095369,-89.82512254
Hamilton,38.08163641,-88.53883373
Perry,38.08510853,-89.36856219
White,38.08706198,-88.17657461
Monroe,38.27594376,-90.17761038
Jefferson,38.29980057,-88.9240025
Washington,38.35309213,-89.40982703
Edwards,38.41353228,-88.05720863
Wayne,38.42955355,-88.42586459
Wabash,38.44272901,-87.84922065
St. Clair,38.46996033,-89.93063427
Clinton,38.60704876,-89.42385254
Marion,38.64963204,-88.91899208
Richland,38.71240969,-88.08475366
Lawrence,38.71987914,-87.72884035
Clay,38.75388572,-88.48914513
Madison,38.83042506,-89.90422563
Bond,38.88829622,-89.43534887
Fayette,39.00072038,-89.02452658
Crawford,39.0032229,-87.75954624
Jasper,39.01054275,-88.15437049
Effingham,39.05935711,-88.58969584
Jersey,39.08869046,-90.35393073
Calhoun,39.16840183,-90.66330078
Montgomery,39.23198845,-89.47809254
Macoupin,39.26119767,-89.92424028
Cumberland,39.27432424,-88.2401158
Clark,39.33425789,-87.78705622
Greene,39.35907414,-90.388865
Shelby,39.39133527,-88.80611122
Coles,39.51949084,-88.22358557
Christian,39.54581621,-89.27780482
Pike,39.62265059,-90.8877017
Moultrie,39.64187451,-88.62099969
Scott,39.6429169,-90.47814431
Edgar,39.6809186,-87.74759563
Morgan,39.71654544,-90.20255104
Sangamon,39.75836914,-89.65872023
Douglas,39.76768052,-88.21854195
Macon,39.86064913,-88.96342505
Brown,39.96209138,-90.75068024
Cass,39.96991073,-90.24734436
Adams,39.98815591,-91.18786813
Piatt,40.01360584,-88.59319339
Menard,40.02742725,-89.80246001
Logan,40.12581572,-89.36638784
Champaign,40.13919438,-88.20046615
Schuyler,40.1571798,-90.61114163
De Witt,40.17514519,-88.90959682
Vermilion,40.18417171,-87.73384359
Mason,40.23917274,-89.91824452
Hancock,40.40423981,-91.16313899
McDonough,40.45674722,-90.67775541
Fulton,40.47289135,-90.20862357
McLean,40.48996987,-88.84621113
Tazewell,40.50716185,-89.51404662
Ford,40.59706922,-88.22350769
Iroquois,40.74717633,-87.82466784
Woodford,40.78579374,-89.20973757
Peoria,40.78702156,-89.76078901
Henderson,40.81908672,-90.92491462
Warren,40.84925021,-90.6147432
Livingston,40.89188292,-88.55784752
Knox,40.93148779,-90.2133034
Marshall,41.0327901,-89.34510444
Stark,41.09309773,-89.79745866
Kankakee,41.13746989,-87.86205334
Putnam,41.2013541,-89.2869272
Mercer,41.20596782,-90.74290052
Grundy,41.28569601,-88.41905692
LaSalle,41.3442613,-88.88633881
Henry,41.3533994,-90.13296166
Bureau,41.40385234,-89.5283051
Will,41.44619267,-87.97862712
Rock Island,41.46613806,-90.57042164
Kendall,41.59081014,-88.42869583
Lee,41.74583951,-89.29977132
Whiteside,41.75509713,-89.91556058
Cook,41.84144849,-87.81658794
DuPage,41.85116968,-88.08642662
DeKalb,41.89373302,-88.76958483
Kane,41.93842729,-88.42861412
Ogle,42.04165196,-89.32184679
Carroll,42.06823429,-89.93395545
Lake,42.3224907,-88.00367925
Boone,42.32359279,-88.82345779
McHenry,42.32451172,-88.45248227
Winnebago,42.33641854,-89.16085327
Stephenson,42.35129217,-89.662598
Jo Daviess,42.36542373,-90.21094405
Spencer,38.01519732,-87.0079644
Posey,38.02097333,-87.86480429
Vanderburgh,38.02658833,-87.58763124
Perry,38.07809328,-86.63741946
Warrick,38.08922676,-87.2716085
Harrison,38.19467379,-86.10948271
Crawford,38.28814402,-86.44518825
Gibson,38.30393723,-87.58054938
Floyd,38.32117957,-85.90385377
Dubois,38.36597551,-86.8792417
Pike,38.40112197,-87.23574907
Clark,38.48015445,-85.70510334
Orange,38.5411892,-86.49523093
Washington,38.60219804,-86.1049363
Scott,38.68672078,-85.74627859
Knox,38.68861576,-87.4194665
Daviess,38.70186039,-87.07185406
Martin,38.7099921,-86.80373186
Jefferson,38.78576239,-85.43633383
Switzerland,38.82767338,-85.03022429
Lawrence,38.84112637,-86.48361629
Jackson,38.9091582,-86.03851889
Ohio,38.955305,-84.96515993
Jennings,38.99588883,-85.62710784
Greene,39.03630547,-86.96223202
Sullivan,39.08952258,-87.41414469
Ripley,39.10235626,-85.26212744
Dearborn,39.14647946,-84.97333539
Monroe,39.16130004,-86.52414358
Brown,39.19605589,-86.22868909
Bartholomew,39.20744865,-85.89558181
Decatur,39.30712658,-85.50087166
Owen,39.31145587,-86.83900724
Clay,39.39561833,-87.11723506
Franklin,39.4142482,-85.06062647
Vigo,39.42944561,-87.39169027
Morgan,39.47899078,-86.44573375
Johnson,39.48994426,-86.10149107
Shelby,39.52305623,-85.7915857
Rush,39.62002287,-85.4655599
Union,39.62550777,-84.92497066
Fayette,39.63684962,-85.17797541
Putnam,39.66437981,-86.84517605
Hendricks,39.76719009,-86.51037283
Parke,39.77202286,-87.20375833
Marion,39.78163624,-86.13826325
Hancock,39.82304555,-85.77566351
Vermillion,39.8523352,-87.46160542
Wayne,39.8633444,-85.01044989
Henry,39.93029017,-85.39625719
Montgomery,40.04034823,-86.89335024
Boone,40.0509304,-86.46841646
Hamilton,40.07306535,-86.05244729
Fountain,40.12361933,-87.24217689
Randolph,40.15734772,-85.01139319
Madison,40.16143691,-85.71964711
Delaware,40.22787247,-85.39732772
Clinton,40.30319754,-86.47277257
Tipton,40.31123252,-86.05234925
Warren,40.34728141,-87.35602659
Tippecanoe,40.38872739,-86.89413959
Jay,40.43781032,-85.00576229
Blackford,40.47388153,-85.32499702
Howard,40.48527731,-86.11351892
Grant,40.51587228,-85.65468702
Carroll,40.5807832,-86.56198812
Benton,40.60626947,-87.31093999
Wells,40.72934187,-85.22132966
Adams,40.7457653,-84.93671406
White,40.74911165,-86.86492015
Cass,40.76135835,-86.34830753
Miami,40.76940965,-86.04525048
Huntington,40.82907273,-85.48822092
